name,aliases,tags
Athletic Greens,AG1|AG One,supplements|health|dtc|universal
BetterHelp,Better Help,mental_health|health|universal
Squarespace,Square Space,tech|saas|dtc|universal
Shopify,,tech|saas|universal
HelloFresh,Hello Fresh,meal_kit|food|dtc|universal
NordVPN,Nord VPN,vpn|tech|security|universal
ExpressVPN,Express VPN,vpn|tech|security|universal
ZipRecruiter,Zip Recruiter,jobs|universal
SimpliSafe,Simpli Safe,home_security|universal
Mint Mobile,MintMobile,telecom|universal
MasterClass,Master Class,education|universal
Rocket Money,RocketMoney|Truebill,finance|saas|universal
DoorDash,Door Dash,food|universal
HubSpot,Hub Spot,tech|saas
NetSuite,Net Suite,tech|saas
Amazon,,tech
Audible,,streaming|books|universal
Factor,,meal_kit|food|dtc|universal
Calm,,mental_health|health|universal
Headspace,Head Space,mental_health|health|universal
Indeed,,jobs|universal
LinkedIn,LinkedIn Jobs,jobs|tech|saas|universal
Stamps.com,Stamps,tech|saas|universal
Ring,,home_security|tech|universal
ADT,,home_security|universal
Casper,,mattress|dtc|universal
Helix Sleep,Helix,mattress|dtc|universal
Purple,,mattress|dtc|universal
Brooklinen,,home_goods|dtc|universal
Bombas,,apparel|dtc|universal
Manscaped,,personal_care|dtc|universal
Dollar Shave Club,DSC,personal_care|dtc|universal
Harry's,Harrys,personal_care|dtc|universal
Quip,,personal_care|health|dtc|universal
Hims,,health|personal_care|dtc|universal
Hers,,health|personal_care|dtc|universal
Roman,,health|personal_care|dtc|universal
Keeps,,health|personal_care|dtc|universal
Function of Beauty,,personal_care|health|dtc|universal
Native,,personal_care|dtc|universal
Liquid IV,Liquid I.V.,supplements|beverage|health|dtc|universal
Athletic Brewing,,beverage|dtc
Magic Spoon,,food|dtc|universal
Thrive Market,,food|dtc|universal
Butcher Box,ButcherBox,food|dtc|universal
Blue Apron,,meal_kit|food|dtc|universal
Uber Eats,UberEats,food|universal
Grubhub,Grub Hub,food|universal
Instacart,,food|universal
Credit Karma,,finance|universal
