category,tag,description
podcast_genre,arts,"Arts, design, fashion, performing/visual arts"
podcast_genre,books,"Books, audiobook-targeted shows"
podcast_genre,business,"Business, careers, entrepreneurship, investing, management, marketing"
podcast_genre,comedy,"Comedy, stand-up, improv"
podcast_genre,education,"General education, courses, how-to"
podcast_genre,language_learning,"Language learning specifically (Babbel/Rosetta target)"
podcast_genre,self_improvement,"Self-improvement, productivity, life advice"
podcast_genre,fiction,"Narrative fiction, audio drama"
podcast_genre,history,"History, historical analysis"
podcast_genre,health,"Health & fitness, alternative health, medicine, nutrition, sexuality"
podcast_genre,mental_health,"Mental health, meditation, mindfulness"
podcast_genre,kids_family,"Kids, family, parenting, pets"
podcast_genre,leisure,"Leisure, crafts, hobbies, home & garden"
podcast_genre,gaming,"Video games, board games, gaming culture"
podcast_genre,automotive,"Cars, car culture, auto enthusiast"
podcast_genre,music,"Music, music commentary, music interviews"
podcast_genre,news,"General news, daily news, news commentary, business/tech news"
podcast_genre,politics,"Politics, political commentary, government"
podcast_genre,religion,"Religion, spirituality, faith"
podcast_genre,science,"Science, astronomy, physics, chemistry, life sciences"
podcast_genre,society_culture,"Society & culture, documentary, philosophy, relationships"
podcast_genre,travel,"Places & travel"
podcast_genre,sports,"Sports, all sports subcategories"
podcast_genre,technology,"Technology shows specifically"
podcast_genre,true_crime,"True crime"
podcast_genre,tv_film,"TV & film, after shows, film reviews"
sponsor_industry,tech,"Software, apps, digital tools (broad)"
sponsor_industry,saas,"Subscription B2B/B2C software"
sponsor_industry,vpn,"VPN and privacy networking"
sponsor_industry,security,"Password managers, identity protection, antivirus"
sponsor_industry,finance,"Banking, investing, lending, credit"
sponsor_industry,insurance,"Insurance products (auto, home, life, etc.)"
sponsor_industry,food,"Restaurants, grocery, delivery"
sponsor_industry,meal_kit,"Meal kit delivery (HelloFresh, Factor, etc.)"
sponsor_industry,beverage,"Drinks, alcohol, energy, hydration"
sponsor_industry,supplements,"Supplements, vitamins, nutrition powders"
sponsor_industry,apparel,"Clothing, shoes, accessories"
sponsor_industry,home_goods,"Furniture, decor, home goods (non-mattress)"
sponsor_industry,mattress,"Mattresses, bedding (Casper, Helix, etc.)"
sponsor_industry,home_security,"Alarms, cameras, smart locks"
sponsor_industry,personal_care,"Grooming, skincare, haircare, hygiene"
sponsor_industry,auto,"Cars, car buying, auto services"
sponsor_industry,telecom,"Mobile carriers, internet providers"
sponsor_industry,jobs,"Recruitment, hiring platforms"
sponsor_industry,streaming,"Streaming services, audiobooks (Audible, Netflix, etc.)"
sponsor_industry,gambling,"Sportsbooks, casinos, fantasy sports"
sponsor_industry,nicotine,"Tobacco, vape, nicotine pouches"
sponsor_industry,dtc,"Direct-to-consumer brand (cross-cutting tag)"
